OBJECTID,CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
1,122,12020,12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,1,G3110,2654601832,26140309,+33.9439840,-083.2138965,363485.415789971,3905629939.0061
2,122,12060,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,1,G3110,22494938651,387716575,+33.6937280,-084.3999113,1081070.50525394,33142936861.2798
3,428,12100,12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",M1,1,G3110,1438776649,301268696,+39.4693555,-074.6337591,271517.256980536,2923653661.90874
4,426,12120,12120,"Atmore, AL","Atmore, AL Micro Area",M2,2,G3110,2448115116,20504948,+31.1222867,-087.1684097,290489.581088239,3379385489.7313
5,258,12140,12140,"Auburn, IN","Auburn, IN Micro Area",M2,2,G3110,939731962,2657419,+41.4011894,-085.0001854,163993.156535583,1676172921.3874
6,532,12180,12180,"Auburn, NY","Auburn, NY Micro Area",M2,2,G3110,1791190510,445708165,+43.0085456,-076.5745866,430113.719970423,4185653280.39799
7,194,12220,12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",M1,1,G3110,1573514768,21526461,+32.6040644,-085.3530477,241954.204262598,2253829022.84294
8, ,12260,12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,1,G3110,9015028913,262514053,+33.4603713,-081.9828327,808623.271046698,13365677756.8363
9, ,12300,12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",M2,2,G3110,2246734973,216795650,+44.4170119,-069.7657639,395137.957500114,4828284516.02482
10,462,12380,12380,"Austin, MN","Austin, MN Micro Area",M2,2,G3110,1842332264,617235,+43.6662486,-092.7595136,241658.089482827,3523755854.60906
11, ,12420,12420,"Austin-Round Rock-Georgetown, TX","Austin-Round Rock-Georgetown, TX Metro Area",M1,1,G3110,10935038512,150326847,+30.2395128,-097.6912697,564631.542737955,14909204274.7239
