Geo_Type,Geo_Name,Geo_ID,MedianHomeValue
US.States,Alabama,01,150605
US.States,Alaska,02,276974
US.States,Arizona,04,249723
US.States,Arkansas,05,134705
US.States,California,06,566060
US.States,Colorado,08,384388
US.States,Connecticut,09,279013
US.States,Delaware,10,259115
US.States,District of Columbia,11,629935
US.States,Florida,12,237555
US.States,Georgia,13,197615
US.States,Hawaii,15,636489
US.States,Idaho,16,239733
US.States,Illinois,17,207550
US.States,Indiana,18,151138
US.States,Iowa,19,154689
US.States,Kansas,20,162847
US.States,Kentucky,21,150032
US.States,Louisiana,22,171036
US.States,Maine,23,203101
US.States,Maryland,24,330355
US.States,Massachusetts,25,414992
US.States,Michigan,26,170940
US.States,Minnesota,27,241823
US.States,Mississippi,28,125742
US.States,Missouri,29,169646
US.States,Montana,30,245260
US.States,Nebraska,31,165063
US.States,Nevada,32,301533
US.States,New Hampshire,33,272942
US.States,New Jersey,34,348500
US.States,New Mexico,35,180618
US.States,New York,36,332461
US.States,North Carolina,37,187915
US.States,North Dakota,38,198819
US.States,Ohio,39,154586
US.States,Oklahoma,40,142689
US.States,Oregon,41,351618
US.States,Pennsylvania,42,191008
US.States,Rhode Island,44,273740
US.States,South Carolina,45,178921
US.States,South Dakota,46,178215
US.States,Tennessee,47,185759
US.States,Texas,48,193109
US.States,Utah,49,315721
US.States,Vermont,50,232768
US.States,Virginia,51,285102
US.States,Washington,53,383911
US.States,West Virginia,54,123360
US.States,Wisconsin,55,194819
US.States,Wyoming,56,225506
US.CBSA,"Aberdeen, SD Micropolitan Statistical Area",10100,162216
US.CBSA,"Aberdeen, WA Micropolitan Statistical Area",10140,194658
US.CBSA,"Abilene, TX Metropolitan Statistical Area",10180,127736
US.CBSA,"Ada, OK Micropolitan Statistical Area",10220,141124
US.CBSA,"Adrian, MI Micropolitan Statistical Area",10300,143838
US.CBSA,"Akron, OH Metropolitan Statistical Area",10420,164505
US.CBSA,"Alamogordo, NM Micropolitan Statistical Area",10460,113801
US.CBSA,"Albany, GA Metropolitan Statistical Area",10500,134429
US.CBSA,"Albany-Lebanon, OR Metropolitan Statistical Area",10540,269787
US.CBSA,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",10580,219457
US.CBSA,"Albemarle, NC Micropolitan Statistical Area",10620,147534
US.CBSA,"Albert Lea, MN Micropolitan Statistical Area",10660,122859
US.CBSA,"Albertville, AL Micropolitan Statistical Area",10700,129475
US.CBSA,"Albuquerque, NM Metropolitan Statistical Area",10740,200751
US.CBSA,"Alexander City, AL Micropolitan Statistical Area",10760,110856
US.CBSA,"Alexandria, LA Metropolitan Statistical Area",10780,143746
US.CBSA,"Alexandria, MN Micropolitan Statistical Area",10820,219739
US.CBSA,"Alice, TX Micropolitan Statistical Area",10860,77726
US.CBSA,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",10900,222944
US.CBSA,"Alma, MI Micropolitan Statistical Area",10940,102399
US.CBSA,"Alpena, MI Micropolitan Statistical Area",10980,106272
US.CBSA,"Altoona, PA Metropolitan Statistical Area",11020,134120
US.CBSA,"Altus, OK Micropolitan Statistical Area",11060,117287
US.CBSA,"Amarillo, TX Metropolitan Statistical Area",11100,158158
US.CBSA,"Americus, GA Micropolitan Statistical Area",11140,104655
US.CBSA,"Ames, IA Metropolitan Statistical Area",11180,183440
US.CBSA,"Amsterdam, NY Micropolitan Statistical Area",11220,108681
US.CBSA,"Anchorage, AK Metropolitan Statistical Area",11260,302697
