,Geo_Type,Geo_Name,Geo_ID,UnemploymentRate_ESRI,UnemploymentRate_BLS,Unemployment_Adjustment
0,US.States,Alabama,01,12.6,5.5,0.4365079365079365
1,US.States,Alaska,02,15.6,5.4,0.3461538461538462
2,US.States,Arizona,04,12.3,7.9,0.6422764227642276
3,US.States,Arkansas,05,11.5,5.7,0.4956521739130435
4,US.States,California,06,15.7,9.0,0.5732484076433121
5,US.States,Colorado,08,7.6,6.2,0.8157894736842106
6,US.States,Connecticut,09,9.6,5.8,0.6041666666666666
7,US.States,Delaware,10,14.3,5.5,0.3846153846153846
8,US.States,District of Columbia,11,15.9,8.2,0.5157232704402516
9,US.States,Florida,12,8.2,6.4,0.7804878048780489
10,US.States,Georgia,13,14.1,4.5,0.3191489361702128
11,US.States,Hawaii,15,19.3,14.2,0.7357512953367875
12,US.States,Idaho,16,11.7,5.0,0.4273504273504274
13,US.States,Illinois,17,11.8,6.5,0.5508474576271186
14,US.States,Indiana,18,13.4,4.8,0.3582089552238806
15,US.States,Iowa,19,11.9,3.0,0.25210084033613445
16,US.States,Kansas,20,11.9,4.9,0.411764705882353
17,US.States,Kentucky,21,17.3,6.9,0.3988439306358382
18,US.States,Louisiana,22,18.0,9.3,0.5166666666666667
19,US.States,Maine,23,13.7,4.8,0.35036496350364965
20,US.States,Maryland,24,10.7,7.7,0.7196261682242991
21,US.States,Massachusetts,25,15.0,6.9,0.46
22,US.States,Michigan,26,20.9,5.1,0.24401913875598086
23,US.States,Minnesota,27,13.7,3.9,0.2846715328467153
24,US.States,Mississippi,28,13.0,7.0,0.5384615384615384
25,US.States,Missouri,29,11.7,3.8,0.3247863247863248
26,US.States,Montana,30,12.9,4.2,0.32558139534883723
27,US.States,Nebraska,31,9.1,2.7,0.29670329670329676
28,US.States,Nevada,32,19.1,11.8,0.6178010471204188
29,US.States,New Hampshire,33,15.2,3.8,0.25
30,US.States,New Jersey,34,15.1,7.8,0.5165562913907285
31,US.States,New Mexico,35,12.8,7.9,0.6171875
32,US.States,New York,36,12.1,9.2,0.7603305785123966
33,US.States,North Carolina,37,11.6,6.1,0.5258620689655172
34,US.States,North Dakota,38,10.1,4.0,0.39603960396039606
35,US.States,Ohio,39,15.3,5.2,0.33986928104575165
36,US.States,Oklahoma,40,10.4,6.1,0.5865384615384615
37,US.States,Oregon,41,9.9,6.4,0.6464646464646465
38,US.States,Pennsylvania,42,20.6,6.9,0.33495145631067963
